Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
57.9313,8000,6.2726698,3.3784201,786.39203
115.863,8000,6.2427902,3.36395,785.526
173.79401,8000,6.21275,3.3494201,784.65997
231.72501,8000,6.18258,3.33482,783.79401
289.65601,8000,6.1522498,3.3201499,782.92798
347.58801,8000,6.1217799,3.3054299,782.06201
405.51901,8000,6.0911498,3.2906301,781.19598
463.45001,8000,6.06037,3.2757699,780.33002
521.382,8000,6.06037,3.2757699,779.46301
521.38202,3497.3101,8.2473001,4.63343,779.46301
530.73798,3495.9099,8.2418804,4.6314802,779.37402
540.09497,3494.53,8.2367496,4.6302299,779.11102
549.45203,3493.3799,8.2319498,4.6290302,778.67798
558.80902,3492.0801,8.2269697,4.62749,778.08301
568.16602,3490.8301,8.2228498,4.6262898,777.32898
577.52301,3489.6899,8.2181196,4.6249499,776.422
586.87903,3488.5601,8.2133398,4.62362,775.367
596.23602,3487.4299,8.2083597,4.6223202,774.16602
605.59302,3486.3899,8.2035599,4.6209302,772.82501
614.95001,3485.25,8.1989899,4.6198602,771.34698
624.30701,3483.99,8.1946898,4.6188202,769.73499
633.664,3482.6399,8.1907501,4.6178098,767.99298
643.021,3481.77,8.1869097,4.61724,766.12402
652.37701,3478.95,8.1822004,4.6160898,764.13
661.73401,3475.47,8.1763802,4.6149998,762.01398
671.091,3469.21,8.1650105,4.6117802,759.77899
680.448,3465.54,8.15135,4.6077099,757.42798
689.80499,3463.3999,8.13412,4.6008101,754.96198
699.16199,3459.6799,8.1253996,4.5974302,752.383
708.51898,3455.0901,8.11374,4.5938902,749.69501
717.875,3449.6699,8.0996599,4.58916,746.89899
727.23199,3440.98,8.08916,4.5868602,743.99597
736.58899,3436.1699,8.0799904,4.5872898,740.98798
745.94598,3434.3501,8.0727797,4.5874701,737.87799
755.30298,3432.51,8.0674295,4.5865698,734.66602
764.65997,3431.3501,8.0654602,4.58811,731.354
774.01703,3430.5901,8.0623102,4.58812,727.94397
783.37299,3429.5701,8.05861,4.58742,724.43701
792.72998,3429.03,8.0553999,4.5873199,720.83398
802.08698,3427.7,8.0515299,4.5862398,717.13702
811.44397,3426.24,8.0488997,4.58673,713.34601
820.80103,3426.5601,8.0465202,4.5875902,709.46399
830.15802,3425.23,8.0415602,4.58564,705.48999
839.51501,3424.5,8.0390902,4.5861602,701.42603
848.87097,3423.26,8.0357904,4.58567,697.27301
858.22803,3423.01,8.0333796,4.5864601,693.03198
867.58502,3422.1799,8.02948,4.5851798,688.703
876.94202,3421.3101,8.0264997,4.5848799,684.289
886.29901,3420.53,8.0236902,4.5851102,679.789
895.65601,3419.74,8.0207996,4.5850601,675.20398
905.013,3419.1799,8.0179596,4.5850701,670.53497
914.36902,3418.47,8.0148602,4.5848398,665.78302
923.72601,3417.97,8.0120497,4.5848699,660.948
933.08301,3416.3999,8.0089703,4.58461,656.03101
942.44,3415.45,8.0075598,4.5861502,651.03302
951.797,3414.6101,8.00529,4.58676,645.95502
961.15399,3413.74,8.0029001,4.5872302,640.79602
970.51001,3413.1599,8.0005999,4.58776,635.55902
979.867,3411.6299,7.9980698,4.58781,630.242
989.224,3410.0901,7.9967899,4.5896702,624.84698
998.58099,3410.8,7.9957099,4.5914502,619.37402
1007.94,3411.6899,7.99122,4.5893502,613.823
1017.29,3409.5,7.9865098,4.5871701,608.19598
1026.65,3408.8301,7.9865198,4.5900798,602.492
1036.01,3408.97,7.9843402,4.5907102,596.71301
1045.37,3409.0801,7.9809599,4.5896201,590.85699
1054.72,3406.05,7.9776902,4.5889101,584.927
1064.08,3405.6599,7.97925,4.5936699,578.922
1073.4399,3404.6799,7.97683,4.5939398,572.84198
1082.79,3403.4199,7.9753399,4.5950198,566.68903
1092.15,3402.8799,7.97434,4.59653,560.461
1101.51,3401.6201,7.97229,4.5970602,554.16101
1110.86,3401.23,7.9714198,4.5988498,547.78699
1120.22,3400.03,7.9692502,4.59935,541.341
1129.58,3400.27,7.9684,4.60111,534.82202
1138.9301,3397.98,7.9653702,4.6005201,528.23199
1148.29,3398.22,7.9663501,4.60396,521.56897
1157.65,3397.77,7.9633598,4.60359,514.83502
1167,3399.6299,7.9616799,4.6041999,508.03
1176.36,3395.97,7.9563298,4.6010799,501.15399
1185.72,3395.54,7.9595199,4.6069002,494.207
1195.0699,3395.8899,7.9577999,4.6076798,487.19
1204.4301,3393.49,7.9549499,4.6072602,480.103
1213.79,3392.96,7.9563599,4.6110301,472.94501
1223.15,3391.3201,7.9549499,4.61203,465.71799
1232.5,3392.4199,7.9553199,4.61484,458.42099
1241.86,3392.04,7.95155,4.61341,451.05499
1251.22,3392.26,7.4440398,3.92662,443.62
1260.5699,3391.75,6.9316001,3.23419,436.116
1269.9301,3391,6.9296699,3.2349601,428.543
1279.29,3388.5801,6.9280801,3.2360301,420.901
1288.64,3388.8201,6.9284902,3.2391601,413.19199
1298,3388,6.9258199,3.2390699,405.414
1307.36,3382.25,6.9244299,3.24032,397.56799
1316.71,3372.52,6.8735499,3.2074201,389.65399
1326.0699,3371.8301,6.8063402,3.1639199,381.672
