  Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
57.8745,8000,6.27248,3.37833,789.86401
115.749,8000,6.24259,3.3638599,788.99402
173.623,8000,6.2125602,3.3493199,788.12402
231.498,8000,6.1823902,3.3347199,787.25403
289.37201,8000,6.15206,3.32006,786.38397
347.24701,8000,6.1215901,3.30533,785.51501
405.121,8000,6.09096,3.29054,784.64502
462.996,8000,6.0601802,3.2756801,783.77502
520.87,8000,6.0601802,3.2756801,782.90503
520.88,3496.3999,8.2449703,4.6321802,782.90503
533.216,3494.5801,8.2381697,4.62995,782.75
545.56097,3492.9099,8.2316103,4.62815,782.29401
557.90601,3491.26,8.2254696,4.6263299,781.54999
570.25098,3489.6699,8.21947,4.62466,780.53003
582.59601,3488.1799,8.2131901,4.6228499,779.245
594.94098,3486.6399,8.2067404,4.6212101,777.70398
607.28699,3485.3401,8.2004299,4.6192098,775.91803
619.63202,3483.79,8.1943703,4.6180501,773.89398
631.97699,3482.1399,8.1889801,4.61658,771.64001
644.32202,3480.28,8.1837301,4.6156702,769.16302
656.66699,3475.5701,8.1781998,4.6145802,766.47101
669.01202,3468.8,8.1648798,4.6111398,763.56799
681.35699,3463.6001,8.1475601,4.60568,760.46198
693.703,3459.8701,8.12609,4.5970702,757.15601
706.04797,3454.4099,8.11415,4.5935702,753.65698
718.39301,3446.49,8.0956602,4.5872002,749.96802
730.73798,3436.8,8.0817299,4.58463,746.09399
743.08301,3434.02,8.0728998,4.5865502,742.039
755.42798,3432,8.0649796,4.585,737.80603
767.77399,3430.3899,8.0616703,4.5861502,733.40002
780.11902,3429.1399,8.0577002,4.5864701,728.823
792.46399,3427.97,8.0533104,4.5861201,724.078
804.80902,3426.1201,8.0489197,4.5855398,719.16901
817.15399,3426.22,8.04564,4.58641,714.09802
829.49902,3424.72,8.0395403,4.5841799,708.867
841.84497,3423.6299,8.0359402,4.5845499,703.479
854.19,3422.4299,8.0318699,4.5843501,697.93701
866.53497,3421.5901,8.0280704,4.5845499,692.24103
878.88,3420.3799,8.0237799,4.5836701,686.396
891.22498,3419.4099,8.0202103,4.5840602,680.401
903.57001,3418.6799,8.0163803,4.5840101,674.25897
915.91498,3417.97,8.01229,4.5836201,667.97198
928.26099,3416.48,8.0082598,4.5832701,661.54199
940.60602,3415.02,8.0055304,4.5843301,654.96899
952.95099,3413.9099,8.0028496,4.5855198,648.25598
965.29602,3412.99,7.9997501,4.5861602,641.40302
977.64099,3411.3301,7.99649,4.5865002,634.41302
989.98602,3409.4299,7.99438,4.5882702,627.28497
1002.33,3411.46,7.9928002,4.5904799,620.02197
1014.68,3409.1201,7.98526,4.5859799,612.62402
1027.02,3408.1101,7.9844599,4.5889702,605.09302
1039.37,3408.3301,7.9818101,4.58992,597.42999
1051.71,3406.49,7.9773598,4.5885901,589.63501
1064.0601,3404.76,7.97613,4.5911899,581.70898
1076.4,3403.3201,7.9748302,4.5936399,573.65399
1088.75,3402.1001,7.9731398,4.59518,565.46997
1101.09,3402.3301,7.97124,4.5967202,557.15802
1113.4399,3400.0801,7.9671898,4.5959101,548.71899
1125.78,3400.2,7.9670701,4.5995102,540.15302
1138.13,3398.04,7.9633999,4.5990801,531.461
1150.47,3397.6799,7.9633498,4.6023202,522.64398
1162.8199,3399.8501,7.9605298,4.60286,513.703
1175.16,3395.4399,7.95403,4.5991702,504.638
1187.51,3395.2,7.9576502,4.6061702,495.44901
1199.85,3392.53,7.9549398,4.6068201,486.138
1212.2,3391.99,7.9560399,4.6110301,476.70401
1224.54,3391.3101,7.95398,4.6121001,467.14899
1236.89,3391.3401,7.95225,4.6135502,457.47299
1249.23,3391.75,7.8954501,4.5404601,447.67599
1261.58,3391.6499,6.93014,3.23383,437.758
