Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
58.022301,8000,6.2730098,3.3785901,786.65997
116.045,8000,6.2428899,3.3640001,785.79401
174.067,8000,6.2126198,3.34935,784.927
232.089,8000,6.1822,3.33464,784.06097
290.11099,8000,6.1516299,3.31986,783.19501
348.134,8000,6.1209102,3.3050101,782.328
406.15601,8000,6.0900402,3.2901001,781.46198
464.17801,8000,6.059,3.27511,780.59601
522.2,8000,6.059,3.27511,779.729
522.20001,3496.75,8.2452097,4.6326299,779.729
531.50299,3495.4099,8.2398596,4.63099,779.64001
540.80499,3494.05,8.2347002,4.6295199,779.37701
550.10797,3492.8701,8.2300396,4.6283998,778.94501
559.40997,3491.6101,8.2254496,4.6268902,778.34998
568.71301,3490.3701,8.2209997,4.6257401,777.59698
578.01501,3489.22,8.21628,4.62429,776.69098
587.31799,3488.1899,8.2115698,4.6230602,775.63599
596.62,3487.01,8.2063198,4.6216798,774.43701
605.92297,3485.99,8.2018604,4.6202898,773.09698
615.22498,3484.8301,8.1972904,4.6193299,771.61902
624.52802,3483.54,8.1931601,4.6181698,770.008
633.83099,3482.4199,8.18925,4.6173601,768.26599
643.133,3481.25,8.1850204,4.61654,766.39697
652.43597,3477.9199,8.1809902,4.6157398,764.40399
661.73798,3473.77,8.17377,4.6142101,762.289
671.04102,3468.6399,8.1619902,4.6108999,760.05402
680.34302,3464.25,8.1468801,4.6056299,757.703
689.646,3462.5601,8.1297703,4.5990901,755.237
698.948,3458.8301,8.1226101,4.5964298,752.659
708.25098,3454.0601,8.1105204,4.5925498,749.96997
717.55298,3448.3701,8.0959997,4.5878,747.17401
726.85602,3439.96,8.0867004,4.5862999,744.27002
736.15802,3435.52,8.07831,4.5871501,741.26202
745.461,3434.21,8.07092,4.5869002,738.151
754.763,3432.3101,8.0661697,4.5859499,734.93903
764.06598,3431.1399,8.0643797,4.5876799,731.62598
773.36798,3430.45,8.0613098,4.58776,728.21503
782.67102,3429.3301,8.0575504,4.5869398,724.70697
791.97302,3428.77,8.0545597,4.58707,721.10303
801.276,3427.3,8.0507698,4.58604,717.40399
810.57898,3426.1001,8.0484304,4.5868201,713.612
819.88098,3426.3501,8.0457201,4.5872698,709.72803
829.18402,3425.0801,8.0409098,4.5854502,705.75201
838.48602,3424.4299,8.0383997,4.5858598,701.68597
847.789,3423.1399,8.0350504,4.58533,697.53101
857.091,3422.8999,8.0327797,4.5862098,693.28802
866.39398,3422.03,8.0289297,4.58497,688.95801
875.69598,3421.21,8.0260601,4.5847402,684.54102
884.99902,3420.4199,8.0232601,4.5849299,680.03802
894.30103,3419.6699,8.0204296,4.58494,675.45099
903.604,3419.1201,8.0176001,4.5849199,670.77899
912.90601,3418.4299,8.0145397,4.5846901,666.02502
922.20898,3417.95,8.0117598,4.5847201,661.18701
931.51099,3416.3799,8.0087204,4.5844598,656.26801
940.81403,3415.4299,8.0073795,4.58604,651.26703
950.11603,3414.6001,8.0051498,4.5866699,646.18597
959.41901,3413.75,8.0028095,4.5871601,641.02399
968.72101,3413.1599,8.0005503,4.5876999,635.78302
978.02399,3411.7,7.9980898,4.58778,630.46301
987.32599,3410.0901,7.9967699,4.58955,625.06403
996.62903,3410.76,7.9958701,4.5914998,619.58801
1005.93,3411.8201,7.9914999,4.5894899,614.034
1015.23,3409.52,7.9865999,4.58706,608.40399
1024.54,3409.05,7.9868302,4.5901799,602.69598
1033.84,3408.99,7.9844198,4.5904999,596.91302
1043.14,3409.1899,7.98141,4.5898199,591.05402
1052.4399,3406.1101,7.9780598,4.5889602,585.12
1061.75,3405.78,7.9797602,4.5938101,579.11102
1071.05,3404.9299,7.9773002,4.5940399,573.02802
1080.35,3403.49,7.9756899,4.5949702,566.87
1089.65,3403.24,7.9750199,4.5967898,560.63898
1098.96,3401.5801,7.97261,4.59688,554.33398
1108.26,3401.6001,7.9724102,4.59935,547.95697
1117.5601,3400.27,7.9696798,4.5991998,541.50598
