Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
57.909801,8000,6.39713,3.4387701,784.97601
115.82,8000,6.3474698,3.41467,784.112
173.729,8000,6.29741,3.3904099,783.24701
231.63901,8000,6.2469602,3.3659699,782.383
289.54901,8000,6.1960902,3.3413501,781.51801
347.45901,8000,6.1448002,3.31655,780.65399
405.36801,8000,6.09308,3.2915699,779.789
463.27802,8000,6.0409198,3.2663901,778.92499
521.18799,8000,6.0409198,3.2663901,778.06
521.188,3332.51,8.4479103,4.5244298,778.06
530.53601,3330.51,8.4209003,4.51401,777.97101
539.88501,3328.23,8.4616003,4.5323801,777.70697
549.23401,3325.7,8.4470596,4.5272198,777.27502
558.58197,3323.74,8.4911098,4.5469699,776.67902
567.93103,3323.1399,8.5275898,4.5636802,775.92499
577.27899,3320.97,8.54105,4.57057,775.01801
586.62799,3319.0801,8.41817,4.5191798,773.96198
595.97699,3316.5601,8.4604502,4.53828,772.76099
605.32501,3306.6101,8.4487801,4.5342598,771.41901
614.67401,3297.3899,8.4518204,4.5275302,769.94
624.02197,3296.6599,8.2331305,4.4169402,768.328
633.37097,3295.8101,8.1945295,4.3976498,766.58502
642.71899,3293.8301,8.1849804,4.3943701,764.71399
652.06799,3292.3,8.1871099,4.3965902,762.71899
661.41699,3292.8701,8.1887197,4.3986201,760.60303
670.76501,3292.3201,8.1904402,4.4008098,758.367
680.11401,3291.3701,8.1871004,4.4005499,756.01398
689.46198,3289.1699,8.1725101,4.3949699,753.547
698.81097,3288.76,8.1780701,4.3987999,750.96802
708.15997,3288.02,8.1656599,4.3943601,748.27802
717.508,3286.72,8.1625099,4.3942099,745.47998
726.85699,3286.46,8.1677198,4.3979301,742.57599
736.20502,3284.8501,8.1568098,4.3941698,739.56702
745.55402,3283.0701,8.1637602,4.3987198,736.45502
754.90302,3280.2,8.15837,4.3975101,733.24103
764.25098,3279.5601,8.1842899,4.4108801,729.92798
773.59998,3278.1101,8.1809902,4.4107099,726.51599
782.948,3277.3201,8.1781902,4.4106998,723.008
792.297,3275.8201,8.1758699,4.4109998,719.40302
801.64502,3273.78,8.1747799,4.41186,715.70398
810.99402,3271.6201,8.1864004,4.4186502,711.91101
820.34302,3271.3101,8.2001305,4.4264202,708.026
829.69098,3270.72,8.1942301,4.4250598,704.05103
839.03998,3269.48,8.1845903,4.4219599,699.98499
848.388,3268.48,8.1855602,4.42384,695.82898
857.737,3267.3401,8.1941299,4.4292302,691.586
867.086,3267.1599,8.1977997,4.4323702,687.25598
876.43402,3266.04,8.1929598,4.43154,682.83899
885.78302,3265.47,8.1911898,4.4321599,678.336
895.13098,3263.55,8.1898203,4.43297,673.74902
904.47998,3260.0701,8.1956396,4.4372201,669.07703
913.82898,3259.6399,8.2302504,4.4548998,664.323
923.177,3259.79,8.2269096,4.4547801,659.48602
932.526,3259.23,8.2158804,4.4510398,654.56598
941.87402,3258.3701,8.2109699,4.4502301,649.56598
951.22302,3257.1499,8.2120504,4.45223,644.48499
960.57098,3256.71,8.2194996,4.4572201,639.32397
969.91998,3255.98,8.2238503,4.46069,634.08301
979.26898,3254.3101,8.2274904,4.4638901,628.763
988.617,3252.8101,8.2327604,4.4679899,623.36603
997.966,3255.53,8.2466698,4.47612,617.89001
1007.31,3253.51,8.2206898,4.4651399,612.336
1016.66,3249.1101,8.2418499,4.4766898,606.70599
1026.01,3246.05,8.2854404,4.4991202,600.99902
1035.36,3230.26,8.2019901,4.4559102,595.21698
1044.71,3233.04,8.0219297,4.3567801,589.35797
1054.0601,3228.0901,7.9927802,4.3449101,583.42499
1063.41,3226.8,8.0472498,4.3715601,577.41699
1072.75,3229.4199,8.0575895,4.3778501,571.33398
1082.1,3228.03,8.0221996,4.3628998,565.177
1091.45,3227.28,8.02703,4.3667598,558.94598
1100.8,3216.3,8.0401697,4.3743,552.64301
1110.15,3192.9199,7.83077,4.30123,546.26599
1119.5,3193.6001,7.3512502,4.1256599,539.81598
1128.85,3191.6899,7.36414,4.1307101,533.29401
1138.1899,3191.25,7.3582101,4.12991,526.70001
1147.54,3188.76,7.3614802,4.1315298,520.034
1156.89,3187.5701,7.3513498,4.1295199,513.297
1166.24,3187.1201,7.3472099,4.1286602,506.48801
1175.59,3185.46,7.3566599,4.1331601,499.608
1184.9399,3184.77,7.3529201,4.1331201,492.65799
1194.29,3184.1399,7.35777,4.13589,485.63699
1203.63,3183.1599,7.3659801,4.14007,478.54599
1212.98,3181.6101,7.3682199,4.1420498,471.384
1222.33,3180.3,7.36726,4.1431699,464.15302
1231.6801,3178.7,7.36868,4.1451201,456.853
1241.03,3177.76,7.3647599,4.14505,449.483
1250.38,3177.3,7.3691201,4.1479301,442.04401
1259.73,3176.27,7.3874502,4.1563802,434.53601
1269.0699,3174.8201,7.3945799,4.1606102,426.95901
1278.42,3173.46,7.3938198,4.16185,419.31299
1287.77,3172.21,7.3920598,4.1626101,411.60001
1297.12,3171.02,7.39292,4.1643901,403.81799
1306.47,3170.03,7.3973899,4.1677299,395.96701
1315.8199,3168.3999,7.4038801,4.1716599,388.04901
1325.17,3167.5901,7.39779,4.1708999,380.064
1334.52,3166.5601,7.4150901,4.17942,372.01001
