Km from center,density kg/m^3,P-wave speed,S-wave velocity,Temperature
57.773998,8000,6.3964,3.43841,788.89697
115.548,8000,6.3468399,3.4143701,788.02802
173.32201,8000,6.2968798,3.3901501,787.159
231.09599,8000,6.2465301,3.3657601,786.28998
288.87,8000,6.1957598,3.3411901,785.422
346.64401,8000,6.1445799,3.3164401,784.55298
404.418,8000,6.0929599,3.2915101,783.68402
462.19199,8000,6.0409098,3.2663801,782.815
519.96,8000,6.0409098,3.2663801,781.94598
519.966,3331.46,8.4392099,4.5204101,781.94598
532.474,3328.8,8.4159698,4.51195,781.78699
544.98199,3326,8.4431896,4.52493,781.31799
557.48901,3323.6299,8.5074701,4.5536799,780.55298
569.99701,3321.26,8.5319099,4.5656099,779.50403
582.505,3318.78,8.4825697,4.54601,778.18402
595.013,3316.04,8.4502401,4.5336399,776.60101
607.52002,3300.0801,8.5308599,4.56984,774.76599
620.02802,3296.3601,8.3097401,4.45538,772.68799
632.53601,3294.9099,8.1891003,4.3948898,770.37402
645.04401,3291.5,8.1824303,4.3934002,767.83197
657.552,3292.01,8.1875896,4.39744,765.06799
670.05902,3291.4199,8.18437,4.3977299,762.08899
682.56702,3289.5,8.1761103,4.3956299,758.90198
695.07501,3288.3201,8.1725702,4.3956599,755.51099
707.58301,3287.1399,8.1660604,4.3944201,751.92102
720.091,3285.6899,8.1669397,4.3965502,748.13702
732.59802,3284.6899,8.15872,4.3944898,744.164
745.10602,3281.04,8.1611996,4.3973999,740.005
757.61401,3280.1101,8.1716003,4.4039402,735.66498
770.12201,3277.6201,8.1768398,4.4082999,731.14697
782.63,3276.49,8.1764498,4.40978,726.45398
795.13702,3274.3101,8.1736097,4.4102998,721.59003
807.64502,3271.49,8.1753597,4.41294,716.55701
820.15302,3270.5701,8.1960602,4.4244499,711.35901
832.66101,3268.95,8.1894503,4.4232101,705.99701
845.16901,3267.6101,8.1846704,4.4228802,700.47498
857.67603,3266.78,8.1963501,4.4302001,694.79401
870.18402,3265.8,8.1940002,4.4310098,688.95697
882.69202,3264.98,8.1893501,4.4307699,682.966
895.20001,3262.4199,8.1882296,4.4321699,676.823
907.70697,3259.1699,8.2034702,4.4412899,670.52899
920.21503,3259.1899,8.2274504,4.4545298,664.086
932.72302,3258.23,8.2143402,4.4503102,657.49701
945.23102,3257.24,8.2102699,4.4504099,650.76202
957.73901,3256.24,8.2117004,4.4530602,643.883
970.24597,3255.1699,8.2201099,4.45894,636.86102
982.75403,3254.6399,8.2247496,4.46314,629.698
995.26202,3255.3501,8.2227297,4.4642301,622.39398
1007.77,3253.22,8.2138596,4.4619098,614.95203
1020.28,3247.98,8.2374401,4.4751101,607.37201
1032.79,3229.6201,8.2872,4.5010099,599.65601
1045.29,3231.52,8.0239801,4.3578,591.80298
1057.8,3228.3201,8.0010099,4.3492398,583.81702
1070.3101,3227.27,8.0338602,4.3664098,575.69598
1082.8199,3227.5701,8.0392904,4.3709102,567.44202
1095.3199,3224.4399,8.0210104,4.3645601,559.05701
1107.83,3192.6101,7.9307499,4.33395,550.53998
1120.34,3193.3201,7.3492398,4.12468,541.89301
1132.85,3191.1599,7.3657298,4.1312399,533.11603
1145.36,3188.46,7.36169,4.1314301,524.21002
1157.86,3187.3601,7.3513899,4.1294298,515.17603
1170.37,3185.6499,7.3522,4.13061,506.01501
1182.88,3184.26,7.3524899,4.13235,496.72601
1195.39,3183.22,7.3540101,4.1343598,487.311
1207.89,3181.8701,7.3604202,4.1381898,477.76999
1220.4,3179.9199,7.3675599,4.1426601,468.103
1232.91,3178.05,7.3666601,4.1442299,458.31201
1245.42,3176.9099,7.36449,4.1452198,448.397
1257.9301,3175.9099,7.3759699,4.1514201,438.358
1270.4301,3173.9299,7.3938498,4.1602802,428.19501
1282.9399,3172.24,7.38938,4.1605301,417.91
1295.45,3170.5701,7.39045,4.1629,407.50201
1307.96,3169.0901,7.3932099,4.1660399,396.97198
1320.46,3167.54,7.3991299,4.1703,386.32001
1332.97,3166.1899,7.4089198,4.1763902,375.548
1345.48,3164.5601,7.4265199,4.18574,364.65399
